question_id,part,section,question_type,passage,question,A,B,C,D,E,F,G,H,correct_answer,acceptable_answers,image
L1_1,Listening,Part 1,short_answer,Host Family Applicant,Present Address: Sea View Guesthouse _____.,,,,,,,,,14 Hill Road,14 hill road|14 hill rd|fourteen hill road,
L1_2,Listening,Part 1,short_answer,Host Family Applicant,Best time to contact is _____.,,,,,,,,,between 9 and 9.30,between 9 and 9.30|9-9.30|9 to 9.30|9:00-9:30|9 and 9.30|9 and 9:30|between 9 and 930|9-930|9.00-9.30|9:00 to 9:30,
L1_3,Listening,Part 1,short_answer,Host Family Applicant,Intended length of stay: _____.,,,,,,,,,1 year,1 year|one year|a year|1 yr,
L1_4,Listening,Part 1,short_answer,Host Family Applicant,General level of English: _____.,,,,,,,,,intermediate,intermediate|intermediate level,
L1_5,Listening,Part 1,short_answer,Host Family Applicant,Preferred location: In the _____.,,,,,,,,,North-west,north-west|north west|northwest|the north west|the north-west,
L1_6,Listening,Part 1,short_answer,Host Family Applicant,Special diet: _____.,,,,,,,,,vegetarian,vegetarian|veggie|vegeterian,
L1_7,Listening,Part 1,short_answer,Host Family Applicant,Other requirements: Own facilities; Own television; _____.,,,,,,,,,real garden,real garden|garden|a garden|the garden,
L1_8,Listening,Part 1,short_answer,Host Family Applicant,Other requirements: The applicant wants to be _____.,,,,,,,,,the only guest,the only guest|only guest|be the only guest|to be the only guest,
L1_9,Listening,Part 1,short_answer,Host Family Applicant,Maximum price to be _____ pounds per week.,,,,,,,,,100,100|one hundred|£100|100 pounds|one hundred pounds,
L1_10,Listening,Part 1,short_answer,Host Family Applicant,Preferred starting date: _____.,,,,,,,,,23rd March,23rd march|23 march|march 23|march 23rd|23/3|23-3|monday 23rd march|monday 23 march,
L2_11,Listening,Part 2,short_answer,Riverside Industrial Village,"Riverside Village was a good place to start an industry because it had water, raw materials and fuels such as _____ and _____.",,,,,,,,,coal firewood,"coal firewood|firewood coal|coal and firewood|firewood and coal|coal, firewood|firewood, coal",
L2_12,Listening,Part 2,short_answer,Riverside Industrial Village,The metal industry was established at Riverside Village by _____ who lived in the area.,,,,,,,,,local craftsmen,local craftsmen|local craftsman|craftsmen|local workers|local artisans,
L2_13,Listening,Part 2,short_answer,Riverside Industrial Village,There were over _____ water-powered mills in the area in the eighteenth century.,,,,,,,,,160,160|one hundred and sixty,
L2_14,Listening,Part 2,short_answer,Riverside Industrial Village,Label 14 on the plan.,,,,,,,,,Woodside,woodside|wood side|woodside road|wood side road,plan.png
L2_15,Listening,Part 2,short_answer,Riverside Industrial Village,Label 15 on the plan.,,,,,,,,,Ticket office,ticket office|the ticket office,
L2_16,Listening,Part 2,short_answer,Riverside Industrial Village,Label 16 on the plan.,,,,,,,,,Gift shop,gift shop|giftshop|the gift shop,
L2_17,Listening,Part 2,short_answer,Riverside Industrial Village,Label 17 on the plan.,,,,,,,,,Workshop,workshop|work shop|the workshop,
L2_18,Listening,Part 2,short_answer,Riverside Industrial Village,Label 18 on the plan.,,,,,,,,,Showroom,showroom|show room|the showroom,
L2_19,Listening,Part 2,short_answer,Riverside Industrial Village,Label 19 on the plan.,,,,,,,,,Cafe,cafe|café|the cafe|the café,
L2_20,Listening,Part 2,short_answer,Riverside Industrial Village,Label 20 on the plan.,,,,,,,,,Cottages,cottages|cottage|the cottages,
R1_1,Reading,Passage 1,matching,How to handle the Sun,Richard Kovacs __________,,,,,,,,,E,E|e,
R1_2,Reading,Passage 1,matching,How to handle the Sun,August Rollick __________,,,,,,,,,H,H|h,
R1_3,Reading,Passage 1,matching,How to handle the Sun,W. Coblenz __________,,,,,,,,,C,C|c,
R1_4,Reading,Passage 1,matching,How to handle the Sun,Leonard Dodds __________,,,,,,,,,F,F|f,
R2_1,Reading,Passage 2,multiple_choice,Mona Lisa,"According to the passage, Mona Lisa is:",Da Vinci's masterpiece,One of the famous works of art,Just another painting,The only work of art,,,,,B,B|b,
R2_2,Reading,Passage 2,multiple_choice,Mona Lisa,Why do people want to view art in its original form?,They can appreciate art better in its original form.,They are tired of viewing duplicates.,Both A and B,None of the above,,,,,A,A|a,
R2_3,Reading,Passage 2,multiple_choice,Mona Lisa,"According to the passage, what is the difference between a novel and a painting?",No difference,Novels are unique.,Paintings are unique objects.,None of the above,,,,,C,C|c,
R2_4,Reading,Passage 2,multiple_choice,Mona Lisa,What is the difference between reading a novel and a painting?,No difference.,"In a novel, they have to carefully observe the way they are printed and in a painting it is just reading the meaning.","In a painting, they have to carefully observe the way they are printed and in a novel it is just reading the meaning.",None of the above,,,,,C,C|c,
R3_1,Reading,Passage 3,true_false_ng,Homeopathy,German Physician Hippocrates first introduced the practice of homeopathy.,,,,,,,,,F,F|f|false,
R3_2,Reading,Passage 3,true_false_ng,Homeopathy,"During the 1790s, Quinine, an alkaloid was widely used to reduce fever as it had positive effects.",,,,,,,,,T,T|t|true,
R3_3,Reading,Passage 3,true_false_ng,Homeopathy,The first principle of homeopathy was the things that cured problems in the sick people created problems in the healthy people.,,,,,,,,,T,T|t|true,
R3_4,Reading,Passage 3,true_false_ng,Homeopathy,"The second principle of homeopathy by Hahnemann is The Single Remedy theory, in which only one homeopathic remedy can be given at any one time.",,,,,,,,,NG,NG|ng|not given,
R3_5,Reading,Passage 3,true_false_ng,Homeopathy,"Even in the pink of his health, Hahnemann started dosing himself with Quinine.",,,,,,,,,T,T|t|true,
